SIREN,2017,2018,2020,2022,speed_2018,speed_2020,speed_2022,speed_2018_category,speed_2020_category,speed_2022_category
243500667,1.0,56.0,41.0,0.0,-0.7488789237668161,-0.8169642857142857,-1.0,Down-Slopper,Down-Slopper,Down-Slopper
244500468,1.0,43.0,212.0,329.0,-0.2321428571428571,4.170731707317073,inf,Down-Slopper,Long-Runner,Long-Runner
211202023,1.0,6.0,14.0,7.0,-0.8604651162790697,-0.9339622641509434,-0.9787234042553191,Down-Slopper,Down-Slopper,Down-Slopper
200073344,1.0,1.0,1.0,1.0,-0.8333333333333334,-0.9285714285714286,-0.8571428571428572,Down-Slopper,Down-Slopper,Down-Slopper
223100017,1.0,112.0,195.0,456.0,111.0,194.0,455.0,Long-Runner,Long-Runner,Long-Runner
200053726,1.0,20.0,48.0,73.0,-0.8214285714285714,-0.7538461538461538,-0.8399122807017544,Down-Slopper,Down-Slopper,Down-Slopper
200034957,1.0,1.0,1.0,1.0,-0.95,-0.9791666666666666,-0.9863013698630136,Down-Slopper,Down-Slopper,Down-Slopper
212201875,1.0,12.0,12.0,12.0,11.0,11.0,11.0,Long-Runner,Long-Runner,Long-Runner
220100010,1.0,42.0,51.0,262.0,2.5,3.25,20.833333333333332,Long-Runner,Long-Runner,Long-Runner
243100633,1.0,54.0,71.0,104.0,0.2857142857142858,0.392156862745098,-0.6030534351145038,Long-Runner,Long-Runner,Down-Slopper
216000562,1.0,1.0,1.0,3.0,-0.9814814814814815,-0.9859154929577465,-0.9711538461538461,Down-Slopper,Down-Slopper,Down-Slopper
212201719,1.0,4.0,4.0,4.0,3.0,3.0,0.33333333333333326,Long-Runner,Long-Runner,Long-Runner
200023737,1.0,20.0,23.0,23.0,4.0,4.75,4.75,Long-Runner,Long-Runner,Long-Runner
222800013,1.0,31.0,58.0,69.0,0.55,1.5217391304347827,2.0,Long-Runner,Long-Runner,Long-Runner
245900410,1.0,295.0,389.0,437.0,8.516129032258064,5.706896551724138,5.333333333333333,Long-Runner,Long-Runner,Long-Runner
213101579,1.0,1.0,1.0,0.0,-0.9966101694915255,-0.9974293059125964,-1.0,Down-Slopper,Down-Slopper,Down-Slopper
211100763,1.0,24.0,12.0,13.0,23.0,11.0,inf,Long-Runner,Long-Runner,Long-Runner
216401026,1.0,35.0,52.0,124.0,0.45833333333333326,3.333333333333333,8.538461538461538,Long-Runner,Long-Runner,Long-Runner
212902209,1.0,1.0,2.0,2.0,-0.9714285714285714,-0.9615384615384616,-0.9838709677419355,Down-Slopper,Down-Slopper,Down-Slopper
218300986,1.0,1.0,1.0,1.0,0.0,-0.5,-0.5,One-Shot,Down-Slopper,Down-Slopper
200059228,1.0,2.0,25.0,48.0,1.0,24.0,47.0,Long-Runner,Long-Runner,Long-Runner
242500361,1.0,12.0,80.0,63.0,5.0,2.2,0.3125,Long-Runner,Long-Runner,Long-Runner
228000014,1.0,1.0,1.0,1.0,-0.9166666666666666,-0.9875,-0.9841269841269842,Down-Slopper,Down-Slopper,Down-Slopper
225800010,1.0,4.0,40.0,109.0,3.0,39.0,108.0,Long-Runner,Long-Runner,Long-Runner
215901521,1.0,1.0,4.0,6.0,-0.75,-0.9,-0.944954128440367,Down-Slopper,Down-Slopper,Down-Slopper
245804406,1.0,12.0,10.0,19.0,11.0,1.5,2.1666666666666665,Long-Runner,Long-Runner,Long-Runner
215801945,1.0,22.0,23.0,29.0,0.8333333333333333,1.2999999999999998,0.5263157894736843,Long-Runner,Long-Runner,Long-Runner
200065928,1.0,15.0,17.0,18.0,-0.31818181818181823,-0.26086956521739135,-0.3793103448275862,Down-Slopper,Down-Slopper,Down-Slopper
219506805,1.0,1.0,3.0,3.0,-0.9333333333333333,-0.8235294117647058,-0.8333333333333334,Down-Slopper,Down-Slopper,Down-Slopper
243500741,1.0,1.0,8.0,8.0,0.0,1.6666666666666665,1.6666666666666665,One-Shot,Long-Runner,Long-Runner
214700312,1.0,14.0,11.0,14.0,13.0,0.375,0.75,Long-Runner,Long-Runner,Long-Runner
246200729,1.0,1.0,2.0,3.0,-0.9285714285714286,-0.8181818181818181,-0.7857142857142857,Down-Slopper,Down-Slopper,Down-Slopper
